"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"SEC31A",215,148,840,504,755,0,5,554,315,388,660,0,78,453,482,656,256,818,911,649,877,143,397,641,58,26,816,118,23,933,239,28,36,5,863,48,100,82,469,21,478,88,620,894,446,19,4,888,242,10,176,281,672,26,89,2,126,974
"XBP1",36,765,52,67,202,357,0,14,182,846,185,78,0,16,17,748,413,89,429,220,133,487,112,0,225,286,98,43,369,79,972,146,838,136,921,761,708,73,370,296,174,122,698,577,909,883,228,59,83,416,244,792,109,762,3,425,238,431
"HERPUD1",567,111,295,805,0,139,217,39,107,379,641,453,16,0,35,47,12,837,15,552,12,898,283,983,347,785,96,910,120,267,98,841,812,763,159,116,93,464,387,929,885,450,211,780,531,6,444,237,289,24,646,670,441,427,140,366,445,667
"DCTN1",219,67,14,64,93,81,336,75,26,705,249,482,17,35,0,155,197,192,13,125,199,276,63,193,150,135,992,423,102,895,429,429,89,794,73,102,19,726,81,153,14,64,19,458,629,133,92,871,176,42,661,925,50,386,267,15,2,114
"SRPRB",540,60,660,923,827,14,804,188,870,260,916,656,748,47,155,0,63,618,379,763,324,785,861,346,761,10,512,634,52,159,3,994,781,288,611,60,963,444,433,216,455,761,314,421,348,18,687,406,719,547,363,262,840,328,978,632,723,363
"HSPA5",269,10,314,105,464,236,462,281,357,176,394,256,413,12,197,63,0,997,203,681,493,801,338,619,907,0,555,722,34,402,17,402,672,138,487,160,598,966,551,452,527,152,124,247,170,77,903,945,56,670,237,522,936,376,162,130,525,191
"DDX11",949,514,523,597,893,401,789,212,561,647,683,818,89,837,192,618,997,0,974,47,475,715,320,583,799,365,800,813,77,430,143,435,509,337,484,660,587,173,96,469,327,475,195,242,417,642,115,10,361,662,713,24,383,374,210,976,461,882
"TATDN2",31,51,323,217,953,49,632,164,328,574,30,911,429,15,13,379,203,974,0,163,708,918,705,379,540,579,846,548,69,209,232,828,71,85,296,228,28,496,989,45,141,986,373,35,633,371,992,909,434,372,698,842,521,213,21,763,115,962
"SYVN1",582,621,529,590,124,450,543,896,312,208,674,649,220,552,125,763,681,47,163,0,851,6,846,562,269,618,750,916,327,907,817,273,547,511,23,656,314,663,1,45,639,931,835,558,69,584,118,202,844,283,62,40,904,677,14,453,79,98
"DNAJB11",14,202,127,320,499,185,153,476,267,82,373,877,133,12,199,324,493,475,708,851,0,566,610,701,260,10,644,311,771,428,251,521,404,49,266,384,485,942,259,206,318,360,250,0,324,267,325,529,923,622,849,588,291,787,25,535,728,81
"EXTL1",385,934,523,613,690,644,488,205,733,115,201,143,487,898,276,785,801,715,918,6,566,0,359,712,74,572,774,65,275,655,687,26,538,771,826,79,566,861,906,707,661,419,414,644,676,654,12,921,131,314,472,869,22,998,635,915,960,274
"ATP6V0D1",168,512,673,443,317,877,85,73,163,774,57,397,112,283,63,861,338,320,705,846,610,359,0,672,39,265,939,924,173,291,294,714,758,992,342,180,796,707,28,693,131,503,536,421,195,555,679,987,561,972,322,216,258,889,897,638,887,90
"HDGF",221,508,607,379,563,620,930,623,334,668,973,641,0,983,193,346,619,583,379,562,701,712,672,0,542,356,759,429,91,904,738,107,367,46,922,384,560,464,161,317,180,111,227,37,98,676,104,106,537,678,67,13,243,177,467,955,401,135
"EXTL2",634,353,789,762,732,94,57,714,870,716,460,58,225,347,150,761,907,799,540,269,260,74,39,542,0,65,31,69,0,814,29,66,174,79,813,8,200,623,348,16,366,9,982,769,249,505,156,443,738,143,342,108,105,540,11,163,906,152
"CTDSP2",984,426,629,761,149,0,810,681,284,889,251,26,286,785,135,10,0,365,579,618,10,572,265,356,65,0,681,661,244,682,2,314,73,106,944,18,2,897,172,621,615,896,91,271,77,0,763,304,825,0,790,879,442,90,90,330,352,86
"DDIT3",67,504,56,521,339,283,418,177,681,16,34,816,98,96,992,512,555,800,846,750,644,774,939,759,31,681,0,602,629,136,602,82,838,871,469,745,640,715,248,819,988,202,125,691,630,672,20,345,554,473,760,379,886,95,970,65,836,584
"SHC1",267,268,254,824,431,99,43,688,181,307,286,118,43,910,423,634,722,813,548,916,311,65,924,429,69,661,602,0,693,260,911,168,223,225,19,427,762,361,318,36,956,79,437,466,760,606,95,479,873,98,966,439,899,174,74,43,168,760
"TSPYL2",64,2,7,798,716,14,1,729,535,419,74,23,369,120,102,52,34,77,69,327,771,275,173,91,0,244,629,693,0,39,462,84,0,821,112,758,29,367,749,210,28,722,32,900,947,372,236,309,201,4,244,749,400,109,874,1,9,211
"TPP1",187,49,30,775,69,799,111,372,11,248,73,933,79,267,895,159,402,430,209,907,428,655,291,904,814,682,136,260,39,0,895,708,331,553,23,286,538,933,647,747,216,351,205,951,856,158,844,662,52,345,253,117,460,186,202,198,447,858
"PDIA5",45,0,324,296,906,3,91,0,266,190,572,239,972,98,429,3,17,143,232,817,251,687,294,738,29,2,602,911,462,895,0,995,23,59,422,374,210,5,135,290,282,370,9,96,599,985,433,597,487,69,572,22,291,257,463,54,71,13
"EXTL3",440,789,494,406,988,759,95,588,168,30,941,28,146,841,429,994,402,435,828,273,521,26,714,107,66,314,82,168,84,708,995,0,491,959,182,48,253,413,707,253,395,129,45,621,585,124,109,325,271,32,263,296,44,133,19,30,83,372
"ARFGAP1",918,779,852,699,790,883,325,163,530,7,942,36,838,812,89,781,672,509,71,547,404,538,758,367,174,73,838,223,0,331,23,491,0,457,397,354,401,913,261,301,943,508,340,315,145,878,973,783,45,371,106,281,407,489,1,303,754,14
