"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"KLHDC3",341,102,741,20,34,820,657,734,585,269,0,15,947,348,49,338,551,437,49,94,505,56,486,450,27,174,271,267,516,800,216,155,200,484,412,55,734,568,129,19,29,27,845,938,391,57,388,611,53,408,114,178,242,42,696,273,200,398
"SEC31A",600,170,126,613,538,18,183,97,437,995,15,0,467,325,280,737,146,784,153,508,177,77,258,899,21,708,15,247,255,386,197,309,765,180,37,328,9,417,822,599,954,763,527,80,549,512,918,25,816,280,246,284,200,522,494,33,87,87
"XBP1",51,734,116,813,609,673,2,123,707,193,947,467,0,645,505,645,109,971,224,148,434,965,794,841,776,395,381,419,416,535,255,913,516,83,440,661,93,396,644,880,129,582,933,771,27,905,190,969,765,44,393,0,327,429,849,705,968,163
"HERPUD1",775,647,726,468,153,258,560,199,539,428,348,325,645,0,553,484,192,644,502,309,61,270,552,865,401,646,268,245,920,835,262,509,417,22,624,473,229,629,781,746,604,413,442,310,612,815,212,601,828,325,241,18,809,300,917,472,973,8
"DCTN1",800,416,490,637,198,269,356,897,78,788,49,280,505,553,0,371,677,738,21,541,515,9,702,649,674,138,54,444,970,567,332,20,136,693,125,490,75,250,623,155,53,856,714,173,363,443,28,22,272,494,164,27,59,301,176,907,300,85
"SRPRB",266,795,436,450,858,40,678,366,904,465,338,737,645,484,371,0,210,736,850,778,60,454,70,277,844,870,97,289,971,111,934,549,166,86,865,887,383,613,140,305,181,656,960,879,169,187,866,133,557,373,655,101,734,963,203,464,527,84
"HSPA5",14,633,687,940,565,103,116,33,934,743,551,146,109,192,677,210,0,887,625,140,295,724,857,654,189,795,62,951,219,744,11,539,622,42,784,590,30,390,992,380,784,833,596,72,152,846,203,475,743,29,751,6,379,36,931,317,35,182
"DDX11",996,861,194,323,712,560,708,207,999,778,437,784,971,644,738,736,887,0,565,882,789,569,344,789,607,213,284,447,758,900,81,49,969,667,762,797,470,572,751,982,804,313,943,21,673,480,140,675,433,767,447,68,510,858,145,702,845,270
"TATDN2",373,619,966,28,233,615,62,625,606,133,49,153,224,502,21,850,625,565,0,110,134,10,67,399,307,315,697,554,297,61,193,248,117,565,791,570,532,902,305,136,967,26,576,594,8,16,719,500,146,110,81,942,77,26,455,667,308,108
"SYVN1",794,442,171,628,924,50,90,13,462,917,94,508,148,309,541,778,140,882,110,0,164,105,132,621,98,590,111,256,393,504,624,225,676,36,59,382,5,690,344,694,928,543,317,425,424,951,898,89,568,948,493,219,341,480,64,101,327,31
"DNAJB11",81,49,913,773,33,947,837,813,275,703,505,177,434,61,515,60,295,789,134,164,0,560,427,17,427,66,337,279,639,686,26,442,706,411,916,7,13,564,225,614,801,665,162,498,404,12,272,736,211,34,939,165,660,258,686,41,262,167
"EXTL1",46,72,437,61,287,760,25,626,413,400,56,77,965,270,9,454,724,569,10,105,560,0,602,320,101,88,702,675,179,468,205,185,971,191,672,138,873,550,508,10,66,85,536,654,50,34,907,947,118,387,423,486,154,97,373,357,366,190
"ATP6V0D1",568,238,734,873,35,565,613,827,562,504,486,258,794,552,702,70,857,344,67,132,427,602,0,793,192,315,170,383,565,956,162,225,612,815,487,489,50,254,585,141,61,451,516,622,858,439,52,357,268,139,846,435,802,71,141,561,171,661
"HDGF",580,459,869,742,207,554,404,461,501,133,450,899,841,865,649,277,654,789,399,621,17,320,793,0,453,808,544,190,924,972,693,655,515,711,989,526,70,695,865,490,281,387,703,623,856,301,125,190,363,280,978,81,917,232,295,841,210,29
"EXTL2",538,53,337,870,167,60,637,266,848,983,27,21,776,401,674,844,189,607,307,98,427,101,192,453,0,752,100,402,642,453,294,547,838,84,418,13,204,495,731,863,923,863,533,252,873,696,307,27,893,739,364,183,738,407,725,361,440,83
"CTDSP2",287,673,669,77,555,666,409,335,567,268,174,708,395,646,138,870,795,213,315,590,66,88,315,808,752,0,332,31,269,524,943,802,394,873,924,821,870,832,497,596,571,127,404,298,602,496,953,358,62,974,97,607,358,297,438,449,582,113
