"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"KLHDC3",749,100,925,850,293,453,466,828,588,434,0,274,715,416,178,268,148,827,384,701,35,265,256,644,200,174,648,382,817,866,264,61,574,316,97,250,33,999,846,590,39,883,233,990,497,443,783,175,800,730,128,734,729,68,239,830,292,633
"SEC31A",372,357,171,572,355,491,998,110,33,99,274,0,123,236,105,1,845,372,332,24,220,742,650,47,75,4,696,75,638,132,302,41,393,928,665,700,109,841,41,673,94,271,639,200,617,707,383,396,71,256,799,445,32,69,249,442,131,130
"XBP1",860,316,484,899,693,468,924,649,234,972,715,123,0,440,578,899,166,622,189,366,817,731,53,732,376,25,228,483,195,75,407,66,676,474,898,476,514,718,778,937,827,532,488,309,978,577,827,465,398,986,875,836,379,483,997,134,604,395
"HERPUD1",724,655,78,566,967,655,610,709,71,579,416,236,440,0,697,296,82,829,108,338,813,866,0,170,852,110,656,193,714,267,538,84,308,28,355,488,619,784,121,925,141,37,476,943,708,397,703,973,175,89,301,944,333,282,987,212,924,851
"DCTN1",405,632,418,241,952,828,137,286,460,545,178,105,578,697,0,544,443,893,367,70,49,950,0,602,620,119,999,64,269,987,575,601,917,462,301,678,595,812,90,504,52,23,878,812,875,973,268,264,702,347,429,123,90,457,249,327,133,945
"SRPRB",336,112,144,654,717,0,43,225,483,661,268,1,899,296,544,0,42,326,811,297,21,978,729,499,94,701,55,379,477,36,578,820,7,1000,779,134,255,553,527,552,671,836,157,559,77,91,262,199,346,245,271,112,862,15,425,452,67,572
"HSPA5",95,955,969,522,940,143,35,935,289,78,148,845,166,82,443,42,0,68,892,381,539,660,894,393,11,54,273,328,620,963,43,588,438,181,689,716,278,772,145,420,877,502,234,454,0,3,728,51,54,137,640,26,265,196,608,654,53,308
"DDX11",41,430,200,129,62,565,882,427,906,960,827,372,622,829,893,326,68,0,48,272,504,186,573,73,454,777,915,933,658,60,519,580,62,668,76,168,250,645,548,296,183,243,489,121,68,474,194,87,37,403,18,441,188,53,821,65,886,205
"TATDN2",66,954,771,620,72,979,956,705,723,632,384,332,189,108,367,811,892,48,0,204,993,719,727,335,858,367,521,561,937,101,711,587,441,859,212,369,837,856,781,572,181,79,867,687,552,838,338,267,25,360,63,762,788,294,859,948,490,673
"SYVN1",307,414,108,720,923,444,583,791,508,207,701,24,366,338,70,297,381,272,204,0,181,856,413,985,265,414,920,550,853,704,425,300,385,431,414,717,173,142,485,358,206,935,489,696,828,430,400,35,872,734,475,822,698,409,760,476,517,793
"DNAJB11",89,354,375,143,857,88,39,23,463,71,35,220,817,813,49,21,539,504,993,181,0,296,347,718,134,482,139,435,991,582,3,892,233,480,612,746,857,50,971,892,689,29,15,686,337,563,726,622,730,990,493,31,255,667,828,179,498,273
"EXTL1",2,653,776,834,176,573,188,245,456,407,265,742,731,866,950,978,660,186,719,856,296,0,985,222,460,807,400,676,395,885,733,539,405,704,207,148,968,261,820,439,900,740,356,467,647,894,197,971,470,75,355,979,67,263,112,632,840,326
"ATP6V0D1",445,444,141,854,234,175,666,889,40,697,256,650,53,0,0,729,894,573,727,413,347,985,0,638,6,477,895,605,130,863,536,203,948,117,199,103,43,904,361,346,442,682,1000,989,55,265,492,846,196,163,554,238,93,786,49,160,114,910
"HDGF",667,269,584,674,85,438,411,786,553,404,644,47,732,170,602,499,393,73,335,985,718,222,638,0,189,261,317,706,700,274,995,293,405,884,715,258,299,385,537,498,663,383,645,920,68,430,7,149,924,82,58,389,407,212,605,640,398,630
"EXTL2",120,8,766,331,127,343,125,645,302,89,200,75,376,852,620,94,11,454,858,265,134,460,6,189,0,29,298,4,339,80,433,112,70,686,130,82,452,818,861,99,15,97,243,693,154,307,887,771,185,136,706,511,0,8,345,242,19,120
"CTDSP2",222,66,649,195,876,52,71,823,596,398,174,4,25,110,119,701,54,777,367,414,482,807,477,261,29,0,612,46,508,171,242,285,404,548,620,91,175,913,609,22,192,167,88,662,63,142,149,186,795,158,809,197,20,6,443,479,143,325
"DDIT3",213,77,400,870,680,180,938,65,201,361,648,696,228,656,999,55,273,915,521,920,139,400,895,317,298,612,0,162,60,617,6,297,420,472,580,90,500,507,308,624,250,546,53,623,792,894,353,513,956,644,260,723,139,163,871,730,730,74
"SHC1",951,254,175,765,226,159,599,594,847,298,382,75,483,193,64,379,328,933,561,550,435,676,605,706,4,46,162,0,176,118,285,22,857,910,311,415,67,701,710,517,123,286,650,914,145,138,283,812,127,45,697,167,628,8,195,783,343,982
"TSPYL2",36,61,382,203,324,876,463,643,367,216,817,638,195,714,269,477,620,658,937,853,991,395,130,700,339,508,60,176,0,840,986,170,632,70,808,285,513,845,755,200,247,842,551,805,741,805,239,257,897,586,711,392,8,134,31,314,488,432
"TPP1",305,165,562,333,126,293,301,797,974,100,866,132,75,267,987,36,963,60,101,704,582,885,863,274,80,171,617,118,840,0,571,679,533,854,967,518,300,760,487,859,775,745,649,449,218,566,678,102,380,330,775,851,217,283,335,790,42,379
"PDIA5",319,977,843,497,508,162,14,480,754,818,264,302,407,538,575,578,43,519,711,425,3,733,536,995,433,242,6,285,986,571,0,987,168,464,361,128,721,190,287,717,642,176,167,94,561,32,972,473,126,845,603,807,756,189,419,102,57,855
"EXTL3",865,251,457,580,378,892,159,232,492,149,61,41,66,84,601,820,588,580,587,300,892,539,203,293,112,285,297,22,170,679,987,0,407,63,742,748,77,858,369,61,25,115,543,748,492,831,192,581,329,59,745,371,76,157,693,860,646,931
"ARFGAP1",710,413,96,936,218,164,552,157,224,504,574,393,676,308,917,7,438,62,441,385,233,405,948,405,70,404,420,857,632,533,168,407,0,604,347,320,162,76,358,811,396,167,160,697,60,87,686,91,36,164,402,56,616,472,446,520,187,417
"DNAJB9",744,58,107,738,471,826,135,616,6,809,316,928,474,28,462,1000,181,668,859,431,480,704,117,884,686,548,472,910,70,854,464,63,604,0,91,672,722,226,799,160,228,83,196,443,563,199,646,486,372,896,23,874,393,313,861,378,693,950
