"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"XBP1",25,732,13,13,400,689,46,464,1,321,555,152,0,484,682,644,64,46,554,247,33,657,897,1,272,381,861,54,154,369,730,323,785,313,904,19,7,127,249,6,736,693,985,530,915,241,426,0,276,685,5,866,24,537,30,102,125,641
"HERPUD1",301,787,15,2,423,90,0,434,1,124,693,95,484,0,439,721,0,557,534,1,998,754,595,41,82,0,998,4,288,378,793,858,185,54,135,62,37,305,857,78,891,71,382,75,984,324,690,765,1,11,308,342,69,3,333,94,0,40
"DCTN1",152,82,68,109,360,89,485,129,535,745,41,725,682,439,0,107,179,987,161,991,586,749,809,7,30,330,189,95,386,975,423,907,923,378,406,85,9,350,285,136,536,784,770,178,372,123,650,205,5,45,350,336,869,188,411,184,5,117
"SRPRB",227,247,1,2,639,318,473,130,150,708,152,817,644,721,107,0,114,999,212,649,54,991,361,5,453,515,377,199,601,140,997,755,569,527,103,453,885,952,534,36,7,902,970,87,721,215,0,393,7,2,47,229,527,81,861,519,2,8
"HSPA5",62,849,162,67,896,59,426,955,855,207,55,418,64,0,179,114,0,426,374,765,1,320,234,381,332,869,419,578,211,786,834,975,251,61,502,433,0,403,215,13,757,613,95,350,496,356,367,136,77,379,232,19,459,427,376,310,14,104
"DDX11",271,979,162,49,200,812,694,2,128,233,686,197,46,557,987,999,426,0,937,71,882,572,642,58,138,590,396,486,473,644,643,950,735,48,812,88,158,963,561,663,364,219,421,74,632,917,865,99,389,614,121,944,929,672,560,102,704,444
"TATDN2",617,12,123,76,470,148,275,5,983,613,307,316,554,534,161,212,374,937,0,649,108,893,117,316,29,98,39,141,880,296,928,862,808,175,763,288,556,698,572,357,129,24,656,100,82,181,79,479,1,124,144,299,826,1,1000,330,2,7
"SYVN1",394,505,238,17,254,431,121,102,845,288,936,636,247,1,991,649,765,71,649,0,217,751,136,136,712,201,629,139,269,448,576,672,328,275,107,693,187,652,906,708,341,105,971,1,55,197,547,893,8,524,496,108,96,341,171,136,900,60
"DNAJB11",82,47,10,498,52,127,0,242,9,364,13,173,33,998,586,54,1,882,108,217,0,60,154,224,31,0,887,19,197,37,279,178,16,218,913,1,367,908,440,269,551,445,119,655,582,5,578,433,210,28,663,5,662,25,415,20,51,962
"EXTL1",129,172,853,659,214,125,458,382,824,821,907,57,657,754,749,991,320,572,893,751,60,0,124,524,190,838,646,548,327,662,873,761,415,193,786,6,418,325,557,620,843,60,65,770,120,404,750,828,203,155,563,499,46,79,508,264,512,980
"ATP6V0D1",463,540,0,641,218,759,0,585,25,9,0,448,897,595,809,361,234,642,117,136,154,124,0,29,614,2,583,53,686,987,524,831,14,819,344,893,291,7,106,660,155,672,671,130,617,730,105,932,226,99,929,856,623,6,396,660,267,6
"HDGF",16,122,891,95,185,263,19,430,955,4,769,321,1,41,7,5,381,58,316,136,224,524,29,0,829,24,362,976,34,908,698,635,461,356,651,631,229,329,337,132,232,46,782,439,208,715,300,443,692,977,22,4,942,907,556,873,197,183
"EXTL2",30,76,134,107,77,348,888,312,463,95,705,320,272,82,30,453,332,138,29,712,31,190,614,829,0,681,342,741,29,756,82,978,684,411,533,346,248,573,827,82,874,377,588,257,526,169,527,619,536,760,9,59,443,891,949,704,95,123
"CTDSP2",149,54,566,22,1,629,687,937,598,221,851,922,381,0,330,515,869,590,98,201,0,838,2,24,681,0,491,469,794,5,477,0,636,898,394,627,773,285,611,533,681,926,200,81,34,556,820,574,85,434,1,29,128,434,24,949,761,66
"DDIT3",422,122,710,744,477,209,664,504,246,930,675,592,861,998,189,377,419,396,39,629,887,646,583,362,342,491,0,849,802,756,359,274,774,552,388,146,621,511,444,321,305,927,952,15,466,315,0,15,958,262,772,8,22,409,0,312,672,756
"SHC1",418,753,139,0,38,361,380,14,853,590,270,25,54,4,95,199,578,486,141,139,19,548,53,976,741,469,849,0,984,549,737,451,538,889,85,91,809,928,503,8,217,542,582,6,109,379,120,623,24,890,10,424,703,652,395,226,979,176
"TSPYL2",192,574,135,318,324,231,321,18,279,725,300,20,154,288,386,601,211,473,880,269,197,327,686,34,29,794,802,984,0,530,559,46,0,189,437,0,900,171,79,14,980,2,65,0,416,258,89,802,49,182,79,1,931,930,913,30,838,775
