"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"SEC31A",145,979,386,844,43,195,368,924,530,485,146,0,694,378,40,524,988,979,729,30,585,41,159,835,181,808,343,128,590,563,821,710,273,291,849,908,713,639,122,541,545,197,930,88,378,191,973,740,33,810,428,343,867,979,542,509,456,173
"XBP1",58,798,610,67,106,61,204,150,745,343,652,694,0,256,462,730,701,576,611,289,875,191,764,579,495,931,483,811,596,612,452,640,470,872,486,532,961,273,560,266,508,0,429,24,843,718,892,675,773,664,485,845,359,840,618,264,557,160
"HERPUD1",115,607,711,50,426,168,864,130,941,689,143,378,256,0,17,312,601,933,671,37,706,9,30,125,102,368,19,337,790,827,958,78,163,459,307,602,775,61,641,181,0,20,618,2,390,173,897,949,703,897,342,945,350,364,310,140,138,961
"DCTN1",388,354,446,561,560,173,929,427,299,497,634,40,462,17,0,704,998,224,794,44,184,57,22,404,820,508,731,80,167,44,140,15,566,758,272,234,493,226,941,391,832,138,293,935,499,906,679,117,693,950,961,679,947,415,701,833,840,842
"SRPRB",545,134,264,251,944,330,753,207,818,176,262,524,730,312,704,0,438,770,761,502,916,179,963,758,409,565,181,988,85,290,194,486,516,47,891,249,212,841,566,813,567,554,176,277,357,715,250,246,374,273,885,965,336,467,110,919,439,248
"HSPA5",342,654,316,94,186,633,740,231,805,674,636,988,701,601,998,438,0,591,368,118,652,47,317,583,225,910,957,203,95,580,413,115,789,176,487,785,310,312,491,513,686,30,873,418,481,423,601,908,891,633,871,280,235,636,413,902,959,73
"DDX11",24,46,477,742,761,375,258,75,222,865,422,979,576,933,224,770,591,0,968,584,393,306,884,789,967,931,394,856,936,995,914,398,234,410,414,597,950,752,337,870,486,508,324,246,550,717,472,92,724,400,156,442,342,262,232,863,424,224
"TATDN2",109,272,438,407,235,429,622,698,649,111,888,729,611,671,794,761,368,968,0,485,323,526,292,230,994,332,575,734,740,650,467,452,335,634,704,473,422,152,976,193,451,139,966,995,542,551,857,947,577,366,839,457,349,922,968,699,573,5
"SYVN1",949,115,688,843,653,848,891,609,511,341,381,30,289,37,44,502,118,584,485,0,325,675,128,550,308,242,511,31,317,98,322,365,567,418,437,129,657,884,800,894,64,681,313,902,822,668,485,817,520,273,873,678,868,235,654,304,418,525
"DNAJB11",630,234,297,437,380,133,947,559,846,693,790,585,875,706,184,916,652,393,323,325,0,806,59,331,767,604,274,546,219,942,155,100,66,578,463,969,364,294,228,686,432,393,571,0,844,142,655,389,934,902,731,936,702,149,180,679,320,111
