"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"KLHDC3",333,42,838,26,348,59,38,394,740,8,0,51,7,531,12,699,7,52,167,153,21,16,8,28,23,185,77,3,128,368,5,22,239,612,3,14,110,365,0,120,3,55,14,421,29,6,6,594,5,562,345,87,0,13,650,75,72,28
"SEC31A",983,95,72,333,605,237,236,777,38,920,51,0,280,871,14,597,269,464,92,545,116,940,166,60,16,80,217,97,527,345,216,1,524,947,97,2,279,47,163,560,123,3,45,517,1,986,161,567,42,350,152,6,239,131,326,237,34,205
"XBP1",779,655,471,14,699,33,292,274,292,195,7,280,0,734,189,634,308,896,832,590,980,3,121,352,868,567,606,382,4,735,908,951,9,857,141,444,14,275,85,55,970,651,148,64,785,36,417,137,436,700,14,289,727,181,109,365,27,373
"HERPUD1",756,425,428,533,98,861,993,521,413,764,531,871,734,0,389,279,85,874,264,172,183,508,701,117,568,329,223,71,989,526,994,892,786,822,188,580,44,686,553,871,675,669,785,588,100,859,968,783,241,349,331,678,338,417,98,914,866,760
"DCTN1",497,43,389,7,11,0,53,17,667,0,12,14,189,389,0,394,2,286,18,14,193,0,24,758,41,42,131,3,0,4,65,22,27,33,466,30,28,509,252,149,12,121,441,414,116,11,53,899,162,123,57,234,2,9,189,45,55,19
"SRPRB",323,90,484,520,704,652,684,829,662,987,699,597,634,279,394,0,50,879,204,541,112,332,244,5,174,97,527,12,968,367,708,9,82,192,422,0,147,33,902,670,227,39,982,74,594,855,227,425,590,19,774,799,103,12,591,20,55,84
"HSPA5",141,51,114,127,599,218,89,302,18,604,7,269,308,85,2,50,0,438,43,434,20,515,18,6,22,45,457,9,869,589,109,1,996,432,112,3,98,22,46,354,310,6,72,489,0,140,81,930,5,284,124,38,402,358,213,121,21,493
"DDX11",670,900,35,262,279,568,330,207,31,182,52,464,896,874,286,879,438,0,273,268,568,4,273,880,56,273,698,961,384,15,152,331,4,841,27,83,971,530,163,39,461,730,250,983,3,87,998,974,46,469,5,7,864,546,765,903,831,798
"TATDN2",127,96,48,288,53,14,1,926,32,49,167,92,832,264,18,204,43,273,0,0,40,735,46,6,498,115,133,2,4,47,518,15,299,53,21,14,0,789,292,750,1,79,702,267,17,16,5,72,6,39,56,257,14,4,160,6,221,5
"SYVN1",64,190,356,224,2,523,333,105,750,52,153,545,590,172,14,541,434,268,0,0,4,238,20,27,821,287,458,135,228,486,410,489,831,236,286,905,8,173,768,274,2,215,347,902,100,709,488,997,53,143,42,403,551,980,104,285,208,54
"DNAJB11",675,389,19,38,396,1,18,461,134,10,21,116,980,183,193,112,20,568,40,4,0,372,5,441,0,63,169,185,261,52,978,0,64,6,612,1,505,17,43,411,915,7,162,471,120,45,5,135,18,53,21,9,3,0,1,162,288,852
"EXTL1",177,497,32,17,87,606,189,522,3,132,16,940,3,508,0,332,515,4,735,238,372,0,5,586,618,437,38,380,90,643,936,569,0,555,107,565,345,577,1,0,50,40,301,32,18,505,10,670,52,645,1,126,3,644,325,980,257,666
"ATP6V0D1",30,10,104,1,37,93,3,291,31,8,8,166,121,701,24,244,18,273,46,20,5,5,0,4,5,47,106,0,12,203,125,7,720,113,412,44,154,266,10,12,0,125,296,151,8,0,2,353,5,435,183,196,4,46,576,967,32,8
"HDGF",967,417,25,121,593,32,0,538,899,412,28,60,352,117,758,5,6,880,6,27,441,586,4,0,471,8,400,952,515,17,242,0,420,1,424,0,846,211,18,626,274,20,410,105,203,1,0,121,208,0,175,5,123,0,17,4,28,186
"EXTL2",592,245,29,340,773,0,5,438,42,648,23,16,868,568,41,174,22,56,498,821,0,618,5,471,0,196,25,84,327,748,216,3,33,236,32,18,23,249,12,933,7,3,173,156,0,236,1,146,38,559,38,4,6,86,275,18,574,441
"CTDSP2",846,60,77,569,321,198,4,856,39,818,185,80,567,329,42,97,45,273,115,287,63,437,47,8,196,0,491,30,602,463,232,72,720,102,264,1,11,481,142,950,12,10,290,231,1,119,12,727,61,36,136,28,486,250,622,51,74,326
"DDIT3",652,100,786,106,64,711,198,174,828,543,77,217,606,223,131,527,457,698,133,458,169,38,106,400,25,491,0,395,185,456,37,39,945,642,290,66,633,893,110,486,482,115,154,449,14,196,165,687,2,186,152,70,546,1000,420,942,28,517
"SHC1",241,178,40,132,114,9,5,163,408,442,3,97,382,71,3,12,9,961,2,135,185,380,0,952,84,30,395,0,21,106,473,0,40,2,392,9,514,553,1,941,608,0,147,34,3,11,0,23,2,11,32,0,147,2,24,115,84,312
"TSPYL2",335,37,899,21,5,442,685,202,43,49,128,527,4,989,0,968,869,384,4,228,261,90,12,515,327,602,185,21,0,667,496,654,548,527,55,551,84,915,41,24,0,24,579,470,17,405,737,317,0,540,58,365,174,620,708,944,754,32
"TPP1",885,99,43,249,11,412,134,239,95,261,368,345,735,526,4,367,589,15,47,486,52,643,203,17,748,463,456,106,667,0,268,341,122,697,53,273,155,337,154,195,20,205,91,359,17,518,3,634,2,207,80,32,991,578,113,368,152,399
